0 years,1 years,2 years,3 years,4 years,5 years,6 years,7 years,8 years,9 years,10 years,11 years,12 years,13 years,14 years,15 years,16 years,17 years
0.04857691560309454,0.048573464190358066,0.048972561296463636,0.04927203742821858,0.011675236961127966,0.012092945907740247,0.012570302036852828,0.013109989765945674,0.01363504990417728,0,0,0,0,0,0,0,0,0
0.04857691560309454,0.048573464190358066,0.048972561296463636,0.04927203742821858,0.048833135407348634,0.012092945907740247,0.012570302036852828,0.013109989765945674,0.01363504990417728,0.014154193388509805,0,0,0,0,0,0,0,0
0.09487208751593942,0.048573464190358066,0.048972561296463636,0.04927203742821858,0.048833135407348634,0.04813729834935813,0.012570302036852828,0.013109989765945674,0.01363504990417728,0.014154193388509805,0.014789196765848663,0,0,0,0,0,0,0
0.09487208751593942,0.09486534680943054,0.048972561296463636,0.04927203742821858,0.048833135407348634,0.04813729834935813,0.04779144027303221,0.013109989765945674,0.01363504990417728,0.014154193388509805,0.014789196765848663,0.015494364360037923,0,0,0,0,0,0
0.09487208751593942,0.09486534680943054,0.09554671530843291,0.04927203742821858,0.048833135407348634,0.04813729834935813,0.04779144027303221,0.04823612855437617,0.01363504990417728,0.014154193388509805,0.014789196765848663,0.015494364360037923,0.01583021250267253,0,0,0,0,0
0.09487208751593942,0.09486534680943054,0.09554671530843291,0.09535679788200405,0.048833135407348634,0.04813729834935813,0.04779144027303221,0.04823612855437617,0.049551782110238383,0.014154193388509805,0.014789196765848663,0.015494364360037923,0.01583021250267253,0.015452321397706213,0,0,0,0
0.09487208751593942,0.09486534680943054,0.09554671530843291,0.09535679788200405,0.09363014786113422,0.04813729834935813,0.04779144027303221,0.04823612855437617,0.049551782110238383,0.05149173746187215,0.014789196765848663,0.015494364360037923,0.01583021250267253,0.015452321397706213,0.014605293689195217,0,0,0
0.07973448485639811,0.09486534680943054,0.09554671530843291,0.09535679788200405,0.09363014786113422,0.0910140711303799,0.04779144027303221,0.04823612855437617,0.049551782110238383,0.05149173746187215,0.0541404703607317,0.015494364360037923,0.01583021250267253,0.015452321397706213,0.014605293689195217,0.01385934784716174,0,0
0.07973448485639811,0.07972881968368897,0.09554671530843291,0.09535679788200405,0.09363014786113422,0.0910140711303799,0.08862007990533083,0.04823612855437617,0.049551782110238383,0.05149173746187215,0.0541404703607317,0.05702964748331711,0.01583021250267253,0.015452321397706213,0.014605293689195217,0.01385934784716174,0.013626034395496941,0
0.07973448485639811,0.07972881968368897,0.08019953181451747,0.09535679788200405,0.09363014786113422,0.0910140711303799,0.08862007990533083,0.08756226970605573,0.049551782110238383,0.05149173746187215,0.0541404703607317,0.05702964748331711,0.05904356534020207,0.015452321397706213,0.014605293689195217,0.01385934784716174,0.013626034395496941,0.013859182263704809
0.07973448485639811,0.07972881968368897,0.08019953181451747,0.07961872210253698,0.09363014786113422,0.0910140711303799,0.08862007990533083,0.08756226970605573,0.08791326444099931,0.05149173746187215,0.0541404703607317,0.05702964748331711,0.05904356534020207,0.05939784682454561,0.014605293689195217,0.01385934784716174,0.013626034395496941,0.013859182263704809
0.07973448485639811,0.07972881968368897,0.08019953181451747,0.07961872210253698,0.07829068273347005,0.0910140711303799,0.08862007990533083,0.08756226970605573,0.08791326444099931,0.08944922525586724,0.0541404703607317,0.05702964748331711,0.05904356534020207,0.05939784682454561,0.05877903478580305,0.01385934784716174,0.013626034395496941,0.013859182263704809
0.03468840744644542,0.07972881968368897,0.08019953181451747,0.07961872210253698,0.07829068273347005,0.07679288277078229,0.08862007990533083,0.08756226970605573,0.08791326444099931,0.08944922525586724,0.09158487602991075,0.05702964748331711,0.05904356534020207,0.05939784682454561,0.05877903478580305,0.05846029487607073,0.013626034395496941,0.013859182263704809
