X0.years,X1.years,X2.years,X3.years,X4.years,X5.years,X6.years,X7.years,X8.years,X9.years,X10.years,X11.years,X12.years,X13.years,X14.years,X15.years,X16.years,X17.years
0.01389798469724689,0.013896370811616288,0.013894385357407866,0.0010274445903406925,0.0010273081318373373,0.0010994671985072124,0.0010728127645478305,0.0011717868774666898,0,0,0,0,0,0,0,0,0,0
0.01389798469724689,0.013896370811616288,0.013894385357407866,0.01389239393575442,0.0010273081318373373,0.0010994671985072124,0.0010728127645478305,0.0011717868774666898,0.0011949132670982874,0,0,0,0,0,0,0,0,0
0.01389798469724689,0.013896370811616288,0.013894385357407866,0.01389239393575442,0.013890548838410665,0.0010994671985072124,0.0010728127645478305,0.0011717868774666898,0.0011949132670982874,0.001194919174598344,0,0,0,0,0,0,0,0
0.04991900109627664,0.013896370811616288,0.013894385357407866,0.01389239393575442,0.013890548838410665,0.014348431994362228,0.0010728127645478305,0.0011717868774666898,0.0011949132670982874,0.001194919174598344,0.0011949832876870321,0,0,0,0,0,0,0
0.04991900109627664,0.049913204316360815,0.013894385357407866,0.01389239393575442,0.013890548838410665,0.014348431994362228,0.014468908515715258,0.0011717868774666898,0.0011949132670982874,0.001194919174598344,0.0011949832876870321,0.001194988024974235,0,0,0,0,0,0
0.04991900109627664,0.049913204316360815,0.04990607293055446,0.01389239393575442,0.013890548838410665,0.014348431994362228,0.014468908515715258,0.015024020606948994,0.0011949132670982874,0.001194919174598344,0.0010312232476976213,0.001194988024974235,0.0013835712362028384,0,0,0,0,0
0.04991900109627664,0.049913204316360815,0.04990607293055446,0.04989892011078476,0.013890548838410665,0.014348431994362228,0.014468908515715258,0.015024020606948994,0.014958845108964627,0.001194919174598344,0.0011949832876870321,0.001194988024974235,0.0013835712362028384,0.001383580301400881,0,0,0,0
0.04991900109627664,0.049913204316360815,0.04990607293055446,0.04989892011078476,0.04989229286098329,0.014348431994362228,0.014468908515715258,0.015024020606948994,0.014958845108964627,0.014958919063602808,0.0011949832876870321,0.001194988024974235,0.0013835712362028384,0.001383580301400881,0.0013835916524261038,0,0,0
0.08535835513773908,0.049913204316360815,0.04990607293055446,0.04989892011078476,0.04989229286098329,0.04805553624735326,0.014468908515715258,0.015024020606948994,0.014958845108964627,0.014958919063602808,0.01495972168065423,0.001194988024974235,0.0013835712362028384,0.001383580301400881,0.0013835916524261038,0.001381627946675249,0,0
0.08535835513773908,0.08534844300833257,0.04990607293055446,0.04989892011078476,0.04989229286098329,0.04805553624735326,0.04589514267537346,0.015024020606948994,0.014958845108964627,0.014958919063602808,0.01495972168065423,0.014959780985666115,0.0013835712362028384,0.001383580301400881,0.0013835916524261038,0.001381627946675249,0.0013816284989582389,0
