prob,father_age,child_age,gender
2.50502834156153e-5,97,0,male
2.50502834156153e-5,98,0,male
2.50502834156153e-5,99,0,male
2.50502834156153e-5,100,0,male
0,1,1,male
0,2,1,male
0,3,1,male
0,4,1,male
0,5,1,male
0,6,1,male
0,7,1,male
0,8,1,male
0,9,1,male
0,10,1,male
0,11,1,male
0,12,1,male
0,13,1,male
0,14,1,male
0,15,1,male
0.00119063885564982,16,1,male
0.00119063885564982,17,1,male
0.00119063885564982,18,1,male
0.00119063885564982,19,1,male
0.00119063885564982,20,1,male
0.0182419429250742,21,1,male
0.0182419429250742,22,1,male
0.0182419429250742,23,1,male
0.0182419429250742,24,1,male
0.0182419429250742,25,1,male
0.0780388323513658,26,1,male
0.0780388323513658,27,1,male
0.0780388323513658,28,1,male
0.0780388323513658,29,1,male
0.0780388323513658,30,1,male
0.1209709825753,31,1,male
0.1209709825753,32,1,male
0.1209709825753,33,1,male
0.1209709825753,34,1,male
0.1209709825753,35,1,male
0.0919027549669609,36,1,male
0.0919027549669609,37,1,male
0.0919027549669609,38,1,male
0.0919027549669609,39,1,male
0.0919027549669609,40,1,male
0.0388733366359281,41,1,male
0.0388733366359281,42,1,male
0.0388733366359281,43,1,male
0.0388733366359281,44,1,male
0.0388733366359281,45,1,male
0.0143054952313257,46,1,male
0.0143054952313257,47,1,male
0.0143054952313257,48,1,male
0.0143054952313257,49,1,male
0.0143054952313257,50,1,male
0.00500745920745921,51,1,male
0.00500745920745921,52,1,male
0.00500745920745921,53,1,male
0.00500745920745921,54,1,male
0.00500745920745921,55,1,male
0.00176164519326065,56,1,male
0.00176164519326065,57,1,male
0.00176164519326065,58,1,male
0.00176164519326065,59,1,male
0.00176164519326065,60,1,male
6.37473460721868e-4,61,1,male
6.37473460721868e-4,62,1,male
6.37473460721868e-4,63,1,male
6.37473460721868e-4,64,1,male
6.37473460721868e-4,65,1,male
2.50502834156153e-5,66,1,male
2.50502834156153e-5,67,1,male
2.50502834156153e-5,68,1,male
2.50502834156153e-5,69,1,male
2.50502834156153e-5,70,1,male
2.50502834156153e-5,71,1,male
2.50502834156153e-5,72,1,male
2.50502834156153e-5,73,1,male
2.50502834156153e-5,74,1,male
2.50502834156153e-5,75,1,male
2.50502834156153e-5,76,1,male
2.50502834156153e-5,77,1,male
2.50502834156153e-5,78,1,male
2.50502834156153e-5,79,1,male
2.50502834156153e-5,80,1,male
2.50502834156153e-5,81,1,male
2.50502834156153e-5,82,1,male
2.50502834156153e-5,83,1,male
2.50502834156153e-5,84,1,male
2.50502834156153e-5,85,1,male
2.50502834156153e-5,86,1,male
2.50502834156153e-5,87,1,male
2.50502834156153e-5,88,1,male
2.50502834156153e-5,89,1,male
2.50502834156153e-5,90,1,male
2.50502834156153e-5,91,1,male
2.50502834156153e-5,92,1,male
2.50502834156153e-5,93,1,male
2.50502834156153e-5,94,1,male
2.50502834156153e-5,95,1,male
2.50502834156153e-5,96,1,male
2.50502834156153e-5,97,1,male
