0 years,1 years,2 years,3 years,4 years,5 years,6 years,7 years,8 years,9 years,10 years,11 years,12 years,13 years,14 years,15 years,16 years,17 years
0.04307013617553265,0.04307220928303423,0.04321718585110563,0.04433863191191638,0.006522496099059844,0.007171936930353367,0.007905372782771336,0.008432841799567702,0.008926594572734809,0,0,0,0,0,0,0,0,0
0.04307013617553265,0.04307220928303423,0.04321718585110563,0.04433863191191638,0.04620061120955262,0.007171936930353367,0.007905372782771336,0.008432841799567702,0.008926594572734809,0.009235335757701699,0,0,0,0,0,0,0,0
0.11186454626800353,0.04307220928303423,0.04321718585110563,0.04433863191191638,0.04620061120955262,0.048599702763368176,0.007905372782771336,0.008432841799567702,0.008926594572734809,0.009235335757701699,0.009402591725298596,0,0,0,0,0,0,0
0.11186454626800353,0.1118699306770308,0.04321718585110563,0.04433863191191638,0.04620061120955262,0.048599702763368176,0.05150448139126899,0.008432841799567702,0.008926594572734809,0.009235335757701699,0.009402591725298596,0.009613798910390891,0,0,0,0,0,0
0.11186454626800353,0.1118699306770308,0.11187693971517927,0.04433863191191638,0.04620061120955262,0.048599702763368176,0.05150448139126899,0.05413816556005597,0.008926594572734809,0.009235335757701699,0.009402591725298596,0.009613798910390891,0.009830308578198756,0,0,0,0,0
0.11186454626800353,0.1118699306770308,0.11187693971517927,0.11282308048089779,0.04620061120955262,0.048599702763368176,0.05150448139126899,0.05413816556005597,0.056088176762227444,0.009235335757701699,0.009402591725298596,0.009613798910390891,0.009830308578198756,0.009957640093113791,0,0,0,0
0.11186454626800353,0.1118699306770308,0.11187693971517927,0.11282308048089779,0.11547400434355294,0.048599702763368176,0.05150448139126899,0.05413816556005597,0.056088176762227444,0.05765607557923557,0.009402591725298596,0.009613798910390891,0.009830308578198756,0.009957640093113791,0.01001147840520681,0,0,0
0.12017525436943141,0.1118699306770308,0.11187693971517927,0.11282308048089779,0.11547400434355294,0.11984911636060844,0.05150448139126899,0.05413816556005597,0.056088176762227444,0.05765607557923557,0.0592789325060602,0.009613798910390891,0.009830308578198756,0.009957640093113791,0.01001147840520681,0.01010566512086082,0,0
0.12017525436943141,0.12018103880021012,0.11187693971517927,0.11282308048089779,0.11547400434355294,0.11984911636060844,0.12445847860448303,0.05413816556005597,0.056088176762227444,0.05765607557923557,0.0592789325060602,0.06018631315050514,0.009830308578198756,0.009957640093113791,0.01001147840520681,0.01010566512086082,0.010217376422751659,0
0.12017525436943141,0.12018103880021012,0.11968420816550145,0.11282308048089779,0.11547400434355294,0.11984911636060844,0.12445847860448303,0.12635626644867057,0.056088176762227444,0.05765607557923557,0.0592789325060602,0.06018631315050514,0.06009316584843427,0.009957640093113791,0.01001147840520681,0.01010566512086082,0.010217376422751659,0.01024089863517081
0.12017525436943141,0.12018103880021012,0.11968420816550145,0.11977333875631109,0.11547400434355294,0.11984911636060844,0.12445847860448303,0.12635626644867057,0.12667987789378407,0.05765607557923557,0.0592789325060602,0.06018631315050514,0.06009316584843427,0.059380338024243,0.01001147840520681,0.01010566512086082,0.010217376422751659,0.01024089863517081
0.12017525436943141,0.12018103880021012,0.11968420816550145,0.11977333875631109,0.12064215373865114,0.11984911636060844,0.12445847860448303,0.12635626644867057,0.12667987789378407,0.1282139060710964,0.0592789325060602,0.06018631315050514,0.06009316584843427,0.059380338024243,0.060095770663784964,0.01010566512086082,0.010217376422751659,0.01024089863517081
0.06284809750423304,0.12018103880021012,0.11968420816550145,0.11977333875631109,0.12064215373865114,0.12207301117555855,0.12445847860448303,0.12635626644867057,0.12667987789378407,0.1282139060710964,0.13083162835401074,0.06018631315050514,0.06009316584843427,0.059380338024243,0.060095770663784964,0.060941847164705576,0.010217376422751659,0.01024089863517081
0.06284809750423304,0.06285112259015023,0.11968420816550145,0.11977333875631109,0.12064215373865114,0.12207301117555855,0.124283559908418,0.12635626644867057,0.12667987789378407,0.1282139060710964,0.13083162835401074,0.13200270297922026,0.06009316584843427,0.059380338024243,0.060095770663784964,0.060941847164705576,0.060718681620918875,0.01024089863517081
0.06284809750423304,0.06285112259015023,0.06284589917709234,0.11977333875631109,0.12064215373865114,0.12207301117555855,0.124283559908418,0.12495121558225114,0.12667987789378407,0.1282139060710964,0.13083162835401074,0.13200270297922026,0.13227095208789458,0.059380338024243,0.060095770663784964,0.060941847164705576,0.060718681620918875,0.060624420433703606
0.06284809750423304,0.06285112259015023,0.06284589917709234,0.0626272125321204,0.12064215373865114,0.12207301117555855,0.124283559908418,0.12495121558225114,0.12515537564130402,0.1282139060710964,0.13083162835401074,0.13200270297922026,0.13227095208789458,0.13265228311666985,0.060095770663784964,0.060941847164705576,0.060718681620918875,0.060624420433703606
0.06284809750423304,0.06285112259015023,0.06284589917709234,0.0626272125321204,0.062215765447756206,0.12207301117555855,0.124283559908418,0.12495121558225114,0.12515537564130402,0.125271082260854,0.13083162835401074,0.13200270297922026,0.13227095208789458,0.13265228311666985,0.1339124355400377,0.060941847164705576,0.060718681620918875,0.060624420433703606
0.014220030750962084,0.06285112259015023,0.06284589917709234,0.0626272125321204,0.062215765447756206,0.06180034257740341,0.124283559908418,0.12495121558225114,0.12515537564130402,0.125271082260854,0.1243153921455156,0.13200270297922026,0.13227095208789458,0.13265228311666985,0.1339124355400377,0.1317358644350114,0.060718681620918875,0.060624420433703606
0.014220030750962084,0.014220715207874464,0.06284589917709234,0.0626272125321204,0.062215765447756206,0.06180034257740341,0.06087934341833479,0.12495121558225114,0.12515537564130402,0.125271082260854,0.1243153921455156,0.12193539544525743,0.13227095208789458,0.13265228311666985,0.1339124355400377,0.1317358644350114,0.12864689584472744,0.060624420433703606
0.014220030750962084,0.014220715207874464,0.014198882299732091,0.0626272125321204,0.062215765447756206,0.06180034257740341,0.06087934341833479,0.05935510890622685,0.12515537564130402,0.125271082260854,0.1243153921455156,0.12193539544525743,0.1192382000001939,0.13265228311666985,0.1339124355400377,0.1317358644350114,0.12864689584472744,0.1291641938035278
0.014220030750962084,0.014220715207874464,0.014198882299732091,0.014016865048431455,0.062215765447756206,0.06180034257740341,0.06087934341833479,0.05935510890622685,0.057670675437794035,0.125271082260854,0.1243153921455156,0.12193539544525743,0.1192382000001939,0.1171629577329621,0.1339124355400377,0.1317358644350114,0.12864689584472744,0.1291641938035278
0.014220030750962084,0.014220715207874464,0.014198882299732091,0.014016865048431455,0.013673370724769688,0.06180034257740341,0.06087934341833479,0.05935510890622685,0.057670675437794035,0.05646350702444036,0.1243153921455156,0.12193539544525743,0.1192382000001939,0.1171629577329621,0.11685311625056881,0.1317358644350114,0.12864689584472744,0.1291641938035278
9.259631278440376e-4,0.014220715207874464,0.014198882299732091,0.014016865048431455,0.013673370724769688,0.013436347086197108,0.06087934341833479,0.05935510890622685,0.057670675437794035,0.05646350702444036,0.05641205677053523,0.12193539544525743,0.1192382000001939,0.1171629577329621,0.11685311625056881,0.1165905739387398,0.12864689584472744,0.1291641938035278
9.259631278440376e-4,9.260076974989533e-4,0.014198882299732091,0.014016865048431455,0.013673370724769688,0.013436347086197108,0.013619554830422294,0.05935510890622685,0.057670675437794035,0.05646350702444036,0.05641205677053523,0.0561766108612496,0.1192382000001939,0.1171629577329621,0.11685311625056881,0.1165905739387398,0.11314802585453726,0.1291641938035278
9.259631278440376e-4,9.260076974989533e-4,9.264081411167783e-4,0.014016865048431455,0.013673370724769688,0.013436347086197108,0.013619554830422294,0.013579994062064229,0.057670675437794035,0.05646350702444036,0.05641205677053523,0.0561766108612496,0.055524703119730755,0.1171629577329621,0.11685311625056881,0.1165905739387398,0.11314802585453726,0.11117920403729363
9.259631278440376e-4,9.260076974989533e-4,9.264081411167783e-4,8.914868256189034e-4,0.013673370724769688,0.013436347086197108,0.013619554830422294,0.013579994062064229,0.012953967109500553,0.05646350702444036,0.05641205677053523,0.0561766108612496,0.055524703119730755,0.05415823538540778,0.11685311625056881,0.1165905739387398,0.11314802585453726,0.11117920403729363
9.259631278440376e-4,9.260076974989533e-4,9.264081411167783e-4,8.914868256189034e-4,8.240383575570135e-4,0.013436347086197108,0.013619554830422294,0.013579994062064229,0.012953967109500553,0.01261555500644028,0.05641205677053523,0.0561766108612496,0.055524703119730755,0.05415823538540778,0.052849196110286885,0.1165905739387398,0.11314802585453726,0.11117920403729363
0,9.260076974989533e-4,9.264081411167783e-4,8.914868256189034e-4,8.240383575570135e-4,7.852887558460715e-4,0.013619554830422294,0.013579994062064229,0.012953967109500553,0.01261555500644028,0.012241047501060079,0.0561766108612496,0.055524703119730755,0.05415823538540778,0.052849196110286885,0.05073655577452389,0.11314802585453726,0.11117920403729363
0,0,9.264081411167783e-4,8.914868256189034e-4,8.240383575570135e-4,7.852887558460715e-4,7.804880250580837e-4,0.013579994062064229,0.012953967109500553,0.01261555500644028,0.012241047501060079,0.011619908141666286,0.055524703119730755,0.05415823538540778,0.052849196110286885,0.05073655577452389,0.04793513017979173,0.11117920403729363
0,0,0,8.914868256189034e-4,8.240383575570135e-4,7.852887558460715e-4,7.804880250580837e-4,7.457038610286906e-4,0.012953967109500553,0.01261555500644028,0.012241047501060079,0.011619908141666286,0.011313193441160422,0.05415823538540778,0.052849196110286885,0.05073655577452389,0.04793513017979173,0.046553741042851
