X0.years,X1.years,X2.years,X3.years,X4.years,X5.years,X6.years,X7.years,X8.years,X9.years,X10.years,X11.years,X12.years,X13.years,X14.years,X15.years,X16.years,X17.years
0.036348381747892296,0.036348381747892296,0.036348381747892296,0.036348381747892296,0.004873631018946335,0.004873631018946335,0.004873631018946335,0.004873631018946335,0.007567201786369913,0,0,0,0,0,0,0,0,0
0.036348381747892296,0.036348381747892296,0.036348381747892296,0.036348381747892296,0.036348381747892296,0.004873631018946335,0.004873631018946335,0.004873631018946335,0.007567201786369913,0.007567201786369913,0,0,0,0,0,0,0,0
0.1127138917147658,0.036348381747892296,0.036348381747892296,0.036348381747892296,0.036348381747892296,0.036348381747892296,0.004873631018946335,0.004873631018946335,0.007567201786369913,0.007567201786369913,0.007567201786369913,0,0,0,0,0,0,0
0.1127138917147658,0.1127138917147658,0.036348381747892296,0.036348381747892296,0.036348381747892296,0.036348381747892296,0.036348381747892296,0.004873631018946335,0.007567201786369913,0.007567201786369913,0.007567201786369913,0.007567201786369913,0,0,0,0,0,0
0.1127138917147658,0.1127138917147658,0.1127138917147658,0.036348381747892296,0.036348381747892296,0.036348381747892296,0.036348381747892296,0.036348381747892296,0.007567201786369913,0.007567201786369913,0.004873631018946335,0.007567201786369913,0.007567201786369913,0,0,0,0,0
0.1127138917147658,0.1127138917147658,0.1127138917147658,0.1127138917147658,0.036348381747892296,0.036348381747892296,0.036348381747892296,0.036348381747892296,0.06435763896912985,0.007567201786369913,0.007567201786369913,0.007567201786369913,0.007567201786369913,0.006857280190913435,0,0,0,0
0.1127138917147658,0.1127138917147658,0.1127138917147658,0.1127138917147658,0.1127138917147658,0.036348381747892296,0.036348381747892296,0.036348381747892296,0.06435763896912985,0.06435763896912985,0.007567201786369913,0.007567201786369913,0.007567201786369913,0.006857280190913435,0.006857280190913435,0,0,0
0.17258319431506128,0.1127138917147658,0.1127138917147658,0.1127138917147658,0.1127138917147658,0.1127138917147658,0.036348381747892296,0.036348381747892296,0.06435763896912985,0.06435763896912985,0.06435763896912985,0.007567201786369913,0.007567201786369913,0.006857280190913435,0.006857280190913435,0.006857280190913435,0,0
0.17258319431506128,0.17258319431506128,0.1127138917147658,0.1127138917147658,0.1127138917147658,0.1127138917147658,0.1127138917147658,0.036348381747892296,0.06435763896912985,0.06435763896912985,0.06435763896912985,0.06435763896912985,0.007567201786369913,0.006857280190913435,0.006857280190913435,0.006857280190913435,0.006857280190913435,0
0.17258319431506128,0.17258319431506128,0.17258319431506128,0.1127138917147658,0.1127138917147658,0.1127138917147658,0.1127138917147658,0.1127138917147658,0.06435763896912985,0.06435763896912985,0.06435763896912985,0.06435763896912985,0.06435763896912985,0.006857280190913435,0.006857280190913435,0.006857280190913435,0.006857280190913435,0.006857280190913435
0.17258319431506128,0.17258319431506128,0.17258319431506128,0.17258319431506128,0.1127138917147658,0.1127138917147658,0.1127138917147658,0.1127138917147658,0.11520166329019382,0.06435763896912985,0.06435763896912985,0.06435763896912985,0.06435763896912985,0.043720168861859206,0.006857280190913435,0.006857280190913435,0.006857280190913435,0.006857280190913435
0.17258319431506128,0.17258319431506128,0.17258319431506128,0.17258319431506128,0.17258319431506128,0.1127138917147658,0.1127138917147658,0.1127138917147658,0.11520166329019382,0.11520166329019382,0.06435763896912985,0.06435763896912985,0.06435763896912985,0.043720168861859206,0.043720168861859206,0.006857280190913435,0.006857280190913435,0.006857280190913435
0.16290371410931304,0.17258319431506128,0.17258319431506128,0.17258319431506128,0.17258319431506128,0.17258319431506128,0.1127138917147658,0.1127138917147658,0.11520166329019382,0.11520166329019382,0.11520166329019382,0.06435763896912985,0.06435763896912985,0.043720168861859206,0.043720168861859206,0.043720168861859206,0.006857280190913435,0.006857280190913435
0.16290371410931304,0.16290371410931304,0.17258319431506128,0.17258319431506128,0.17258319431506128,0.17258319431506128,0.17258319431506128,0.1127138917147658,0.11520166329019382,0.11520166329019382,0.11520166329019382,0.11520166329019382,0.06435763896912985,0.043720168861859206,0.043720168861859206,0.043720168861859206,0.043720168861859206,0.006857280190913435
0.16290371410931304,0.16290371410931304,0.16290371410931304,0.17258319431506128,0.17258319431506128,0.17258319431506128,0.17258319431506128,0.17258319431506128,0.11520166329019382,0.11520166329019382,0.11520166329019382,0.11520166329019382,0.11520166329019382,0.043720168861859206,0.043720168861859206,0.043720168861859206,0.043720168861859206,0.043720168861859206
0.16290371410931304,0.16290371410931304,0.16290371410931304,0.16290371410931304,0.17258319431506128,0.17258319431506128,0.17258319431506128,0.17258319431506128,0.15206931486831024,0.11520166329019382,0.11520166329019382,0.11520166329019382,0.11520166329019382,0.08177877321525083,0.043720168861859206,0.043720168861859206,0.043720168861859206,0.043720168861859206
0.16290371410931304,0.16290371410931304,0.16290371410931304,0.16290371410931304,0.16290371410931304,0.17258319431506128,0.17258319431506128,0.17258319431506128,0.15206931486831024,0.15206931486831024,0.11520166329019382,0.11520166329019382,0.11520166329019382,0.08177877321525083,0.08177877321525083,0.043720168861859206,0.043720168861859206,0.043720168861859206
0.11626327447431237,0.16290371410931304,0.16290371410931304,0.16290371410931304,0.16290371410931304,0.16290371410931304,0.17258319431506128,0.17258319431506128,0.15206931486831024,0.15206931486831024,0.15206931486831024,0.11520166329019382,0.11520166329019382,0.08177877321525083,0.08177877321525083,0.08177877321525083,0.043720168861859206,0.043720168861859206
