prob,father_age,child_age,gender
4.02123424021234e-5,96,0,male
4.02123424021234e-5,97,0,male
4.02123424021234e-5,98,0,male
4.02123424021234e-5,99,0,male
4.02123424021234e-5,100,0,male
0,1,1,male
0,2,1,male
0,3,1,male
0,4,1,male
0,5,1,male
0,6,1,male
0,7,1,male
0,8,1,male
0,9,1,male
0,10,1,male
0,11,1,male
0,12,1,male
0,13,1,male
0,14,1,male
0,15,1,male
0.00102773870952632,16,1,male
0.00102773870952632,17,1,male
0.00102773870952632,18,1,male
0.00102773870952632,19,1,male
0.00102773870952632,20,1,male
0.0138963708116163,21,1,male
0.0138963708116163,22,1,male
0.0138963708116163,23,1,male
0.0138963708116163,24,1,male
0.0138963708116163,25,1,male
0.0499132043163608,26,1,male
0.0499132043163608,27,1,male
0.0499132043163608,28,1,male
0.0499132043163608,29,1,male
0.0499132043163608,30,1,male
0.0853484430083326,31,1,male
0.0853484430083326,32,1,male
0.0853484430083326,33,1,male
0.0853484430083326,34,1,male
0.0853484430083326,35,1,male
0.0711840787415871,36,1,male
0.0711840787415871,37,1,male
0.0711840787415871,38,1,male
0.0711840787415871,39,1,male
0.0711840787415871,40,1,male
0.0314463054173277,41,1,male
0.0314463054173277,42,1,male
0.0314463054173277,43,1,male
0.0314463054173277,44,1,male
0.0314463054173277,45,1,male
0.00894827886550688,46,1,male
0.00894827886550688,47,1,male
0.00894827886550688,48,1,male
0.00894827886550688,49,1,male
0.00894827886550688,50,1,male
0.00246559633027523,51,1,male
0.00246559633027523,52,1,male
0.00246559633027523,53,1,male
0.00246559633027523,54,1,male
0.00246559633027523,55,1,male
7.48258706467662e-4,56,1,male
7.48258706467662e-4,57,1,male
7.48258706467662e-4,58,1,male
7.48258706467662e-4,59,1,male
7.48258706467662e-4,60,1,male
2.49202551834131e-4,61,1,male
2.49202551834131e-4,62,1,male
2.49202551834131e-4,63,1,male
2.49202551834131e-4,64,1,male
2.49202551834131e-4,65,1,male
4.02123424021234e-5,66,1,male
4.02123424021234e-5,67,1,male
4.02123424021234e-5,68,1,male
4.02123424021234e-5,69,1,male
4.02123424021234e-5,70,1,male
4.02123424021234e-5,71,1,male
4.02123424021234e-5,72,1,male
4.02123424021234e-5,73,1,male
4.02123424021234e-5,74,1,male
4.02123424021234e-5,75,1,male
4.02123424021234e-5,76,1,male
4.02123424021234e-5,77,1,male
4.02123424021234e-5,78,1,male
4.02123424021234e-5,79,1,male
4.02123424021234e-5,80,1,male
4.02123424021234e-5,81,1,male
4.02123424021234e-5,82,1,male
4.02123424021234e-5,83,1,male
4.02123424021234e-5,84,1,male
4.02123424021234e-5,85,1,male
4.02123424021234e-5,86,1,male
4.02123424021234e-5,87,1,male
4.02123424021234e-5,88,1,male
4.02123424021234e-5,89,1,male
4.02123424021234e-5,90,1,male
4.02123424021234e-5,91,1,male
4.02123424021234e-5,92,1,male
4.02123424021234e-5,93,1,male
4.02123424021234e-5,94,1,male
4.02123424021234e-5,95,1,male
