X0.years,X1.years,X2.years,X3.years,X4.years,X5.years,X6.years,X7.years,X8.years,X9.years,X10.years,X11.years,X12.years,X13.years,X14.years,X15.years,X16.years,X17.years
0.008108917569499595,0.008109504792290093,0.008110100169650867,8.737993947518503e-4,0.001016293022469039,0.0010186380102552663,0.0010762308142520992,0.0011876707070125434,0,0,0,0,0,0,0,0,0,0
0.008108917569499595,0.008109504792290093,0.008110100169650867,0.008623863932613562,0.001016293022469039,0.0010186380102552663,0.0010762308142520992,0.0011876707070125434,0.0011876669385937095,0,0,0,0,0,0,0,0,0
0.008108917569499595,0.008109504792290093,0.008110100169650867,0.008623863932613562,0.009788307855330683,0.0010186380102552663,0.0010762308142520992,0.0011876707070125434,0.0011876669385937095,0.0012103738527412292,0,0,0,0,0,0,0,0
0.03288293535459782,0.008109504792290093,0.008110100169650867,0.008623863932613562,0.009788307855330683,0.009810893332020093,0.0010762308142520992,0.0011876707070125434,0.0011876669385937095,0.0012103738527412292,0.001221552291002592,0,0,0,0,0,0,0
0.03288293535459782,0.03288531663531663,0.008110100169650867,0.008623863932613562,0.009788307855330683,0.009810893332020093,0.010294897788275616,0.0011876707070125434,0.0011876669385937095,0.0012103738527412292,0.001221552291002592,0.0012495464441219157,0,0,0,0,0,0
0.03288293535459782,0.03288531663531663,0.0328877309840997,0.008623863932613562,0.009788307855330683,0.009810893332020093,0.010294897788275616,0.010874677067950192,0.0011876669385937095,0.0012103738527412292,7.883691114397321e-4,0.0012495464441219157,0.0012103371502432535,0,0,0,0,0
0.03288293535459782,0.03288531663531663,0.0328877309840997,0.03332804748220791,0.009788307855330683,0.009810893332020093,0.010294897788275616,0.010874677067950192,0.010874642563152159,0.0012103738527412292,0.001221552291002592,0.0012495464441219157,0.0012103371502432535,0.0012103387236888498,0,0,0,0
0.03288293535459782,0.03288531663531663,0.0328877309840997,0.03332804748220791,0.035269009859790784,0.009810893332020093,0.010294897788275616,0.010874677067950192,0.010874642563152159,0.01087219825359757,0.001221552291002592,0.0012495464441219157,0.0012103371502432535,0.0012103387236888498,0.0012103388804108228,0,0,0
0.06793563509085362,0.03288531663531663,0.0328877309840997,0.03332804748220791,0.035269009859790784,0.03535038933945367,0.010294897788275616,0.010874677067950192,0.010874642563152159,0.01087219825359757,0.011083670299623339,0.0012495464441219157,0.0012103371502432535,0.0012103387236888498,0.0012103388804108228,0.0012082719490228962,0,0
0.06793563509085362,0.06794055477993302,0.0328877309840997,0.03332804748220791,0.035269009859790784,0.03535038933945367,0.036151607553083,0.010874677067950192,0.010874642563152159,0.01087219825359757,0.011083670299623339,0.011208941622730369,0.0012103371502432535,0.0012103387236888498,0.0012103388804108228,0.0012082719490228962,0.001208289071580211,0
