0 years,1 years,2 years,3 years,4 years,5 years,6 years,7 years,8 years,9 years,10 years,11 years,12 years,13 years,14 years,15 years,16 years,17 years
0.0256871336884502,0.02568899387141484,0.025641294720932902,0.025978172712420606,0.0044834616886364346,0.004907718494804432,0.005393713229529262,0.005729096021441363,0.006015833611966189,0,0,0,0,0,0,0,0,0
0.0256871336884502,0.02568899387141484,0.025641294720932902,0.025978172712420606,0.02658915135894759,0.004907718494804432,0.005393713229529262,0.005729096021441363,0.006015833611966189,0.006268939097328827,0,0,0,0,0,0,0,0
0.06375099242473806,0.02568899387141484,0.025641294720932902,0.025978172712420606,0.02658915135894759,0.027733434006944866,0.005393713229529262,0.005729096021441363,0.006015833611966189,0.006268939097328827,0.00641070614647978,0,0,0,0,0,0,0
0.06375099242473806,0.06375560907490718,0.025641294720932902,0.025978172712420606,0.02658915135894759,0.027733434006944866,0.029511911643318765,0.005729096021441363,0.006015833611966189,0.006268939097328827,0.00641070614647978,0.006645377223129019,0,0,0,0,0,0
0.06375099242473806,0.06375560907490718,0.0637959494661321,0.025978172712420606,0.02658915135894759,0.027733434006944866,0.029511911643318765,0.030556624911765688,0.006015833611966189,0.006268939097328827,0.00641070614647978,0.006645377223129019,0.00690350152305949,0,0,0,0,0
0.06375099242473806,0.06375560907490718,0.0637959494661321,0.06407446056833581,0.02658915135894759,0.027733434006944866,0.029511911643318765,0.030556624911765688,0.03185982400370802,0.006268939097328827,0.00641070614647978,0.006645377223129019,0.00690350152305949,0.0068520254397294545,0,0,0,0
0.06375099242473806,0.06375560907490718,0.0637959494661321,0.06407446056833581,0.06490419633263794,0.027733434006944866,0.029511911643318765,0.030556624911765688,0.03185982400370802,0.03308598100279027,0.00641070614647978,0.006645377223129019,0.00690350152305949,0.0068520254397294545,0.00669748265699988,0,0,0
0.0893962466957211,0.06375560907490718,0.0637959494661321,0.06407446056833581,0.06490419633263794,0.0662982951830184,0.029511911643318765,0.030556624911765688,0.03185982400370802,0.03308598100279027,0.03357455234358391,0.006645377223129019,0.00690350152305949,0.0068520254397294545,0.00669748265699988,0.006728175711252832,0,0
0.0893962466957211,0.08940272049607667,0.0637959494661321,0.06407446056833581,0.06490419633263794,0.0662982951830184,0.06793149014424145,0.030556624911765688,0.03185982400370802,0.03308598100279027,0.03357455234358391,0.034652707366005626,0.00690350152305949,0.0068520254397294545,0.00669748265699988,0.006728175711252832,0.006914295603921698,0
0.0893962466957211,0.08940272049607667,0.08901727105104969,0.06407446056833581,0.06490419633263794,0.0662982951830184,0.06793149014424145,0.0691630158180247,0.03185982400370802,0.03308598100279027,0.03357455234358391,0.034652707366005626,0.03558818947586185,0.0068520254397294545,0.00669748265699988,0.006728175711252832,0.006914295603921698,0.006840647403774435
