0years,1years,2years,3years,4years,5years,6years,7years,8years,9years,10years,11years,12years,13years,14years,15years,16years,17years
0.006835339726586411,0.006867568675686757,0.006880616174582799,0.0068384792038785405,0.006721508828250402,5.723825423324589e-4,5.7474016954835e-4,5.773949862868691e-4,5.795421616922632e-4,5.810012588360608e-4,8.128137700215156e-4,8.078696003421565e-4,8.006782215523738e-4,7.937990287635412e-4,7.882047477744807e-4,0.0031969910672308417,0.003243191682167215,0.0032924998789522104
0.006835339726586411,0.006867568675686757,0.006880616174582799,0.0068384792038785405,0.006721508828250402,5.723825423324589e-4,5.7474016954835e-4,5.773949862868691e-4,5.795421616922632e-4,5.810012588360608e-4,8.128137700215156e-4,8.078696003421565e-4,8.006782215523738e-4,7.937990287635412e-4,7.882047477744807e-4,0.0031969910672308417,0.003243191682167215,0.0032924998789522104
0.006835339726586411,0.006867568675686757,0.006880616174582799,0.0068384792038785405,0.006721508828250402,5.723825423324589e-4,5.7474016954835e-4,5.773949862868691e-4,5.795421616922632e-4,5.810012588360608e-4,8.128137700215156e-4,8.078696003421565e-4,8.006782215523738e-4,7.937990287635412e-4,7.882047477744807e-4,0.0031969910672308417,0.003243191682167215,0.0032924998789522104
0.006835339726586411,0.006867568675686757,0.006880616174582799,0.0068384792038785405,0.006721508828250402,5.723825423324589e-4,5.7474016954835e-4,5.773949862868691e-4,5.795421616922632e-4,5.810012588360608e-4,8.128137700215156e-4,8.078696003421565e-4,8.006782215523738e-4,7.937990287635412e-4,7.882047477744807e-4,0.0031969910672308417,0.003243191682167215,0.0032924998789522104
0.006835339726586411,0.006867568675686757,0.006880616174582799,0.0068384792038785405,0.006721508828250402,5.723825423324589e-4,5.7474016954835e-4,5.773949862868691e-4,5.795421616922632e-4,5.810012588360608e-4,8.128137700215156e-4,8.078696003421565e-4,8.006782215523738e-4,7.937990287635412e-4,7.882047477744807e-4,0.0031969910672308417,0.003243191682167215,0.0032924998789522104
0.006835339726586411,0.006867568675686757,0.006880616174582799,0.0068384792038785405,0.006721508828250402,5.723825423324589e-4,5.7474016954835e-4,5.773949862868691e-4,5.795421616922632e-4,5.810012588360608e-4,8.128137700215156e-4,8.078696003421565e-4,8.006782215523738e-4,7.937990287635412e-4,7.882047477744807e-4,0.0031969910672308417,0.003243191682167215,0.0032924998789522104
0.006835339726586411,0.006867568675686757,0.006880616174582799,0.0068384792038785405,0.006721508828250402,5.723825423324589e-4,5.7474016954835e-4,5.773949862868691e-4,5.795421616922632e-4,5.810012588360608e-4,8.128137700215156e-4,8.078696003421565e-4,8.006782215523738e-4,7.937990287635412e-4,7.882047477744807e-4,0.0031969910672308417,0.003243191682167215,0.0032924998789522104
0.006835339726586411,0.006867568675686757,0.006880616174582799,0.0068384792038785405,0.006721508828250402,5.723825423324589e-4,5.7474016954835e-4,5.773949862868691e-4,5.795421616922632e-4,5.810012588360608e-4,8.128137700215156e-4,8.078696003421565e-4,8.006782215523738e-4,7.937990287635412e-4,7.882047477744807e-4,0.0031969910672308417,0.003243191682167215,0.0032924998789522104
0.006835339726586411,0.006867568675686757,0.006880616174582799,0.0068384792038785405,0.006721508828250402,5.723825423324589e-4,5.7474016954835e-4,5.773949862868691e-4,5.795421616922632e-4,5.810012588360608e-4,8.128137700215156e-4,8.078696003421565e-4,8.006782215523738e-4,7.937990287635412e-4,7.882047477744807e-4,0.0031969910672308417,0.003243191682167215,0.0032924998789522104
0.006835339726586411,0.006867568675686757,0.006880616174582799,0.0068384792038785405,0.006721508828250402,5.723825423324589e-4,5.7474016954835e-4,5.773949862868691e-4,5.795421616922632e-4,5.810012588360608e-4,8.128137700215156e-4,8.078696003421565e-4,8.006782215523738e-4,7.937990287635412e-4,7.882047477744807e-4,0.0031969910672308417,0.003243191682167215,0.0032924998789522104
0.006835339726586411,0.006867568675686757,0.006880616174582799,0.0068384792038785405,0.006721508828250402,5.723825423324589e-4,5.7474016954835e-4,5.773949862868691e-4,5.795421616922632e-4,5.810012588360608e-4,8.128137700215156e-4,8.078696003421565e-4,8.006782215523738e-4,7.937990287635412e-4,7.882047477744807e-4,0.0031969910672308417,0.003243191682167215,0.0032924998789522104
0.006835339726586411,0.006867568675686757,0.006880616174582799,0.0068384792038785405,0.006721508828250402,5.723825423324589e-4,5.7474016954835e-4,5.773949862868691e-4,5.795421616922632e-4,5.810012588360608e-4,8.128137700215156e-4,8.078696003421565e-4,8.006782215523738e-4,7.937990287635412e-4,7.882047477744807e-4,0.0031969910672308417,0.003243191682167215,0.0032924998789522104
0.006835339726586411,0.006867568675686757,0.006880616174582799,0.0068384792038785405,0.006721508828250402,5.723825423324589e-4,5.7474016954835e-4,5.773949862868691e-4,5.795421616922632e-4,5.810012588360608e-4,8.128137700215156e-4,8.078696003421565e-4,8.006782215523738e-4,7.937990287635412e-4,7.882047477744807e-4,0.0031969910672308417,0.003243191682167215,0.0032924998789522104
0.006835339726586411,0.006867568675686757,0.006880616174582799,0.0068384792038785405,0.006721508828250402,5.723825423324589e-4,5.7474016954835e-4,5.773949862868691e-4,5.795421616922632e-4,5.810012588360608e-4,8.128137700215156e-4,8.078696003421565e-4,8.006782215523738e-4,7.937990287635412e-4,7.882047477744807e-4,0.0031969910672308417,0.003243191682167215,0.0032924998789522104
0.006835339726586411,0.006867568675686757,0.006880616174582799,0.0068384792038785405,0.006721508828250402,5.723825423324589e-4,5.7474016954835e-4,5.773949862868691e-4,5.795421616922632e-4,5.810012588360608e-4,8.128137700215156e-4,8.078696003421565e-4,8.006782215523738e-4,7.937990287635412e-4,7.882047477744807e-4,0.0031969910672308417,0.003243191682167215,0.0032924998789522104
