country,age,date,afr,gender,fertility_rate
Germany,50-54,2007,9.99157512225916e-6,Female,0.00999157512225916
Germany,50-54,2008,1.07896388891272e-5,Female,0.0107896388891272
Germany,50-54,2009,1.15045392865101e-5,Female,0.0115045392865101
Germany,50-54,2010,1.21187866964481e-5,Female,0.0121187866964481
Germany,50-54,2011,1.27830280507417e-5,Female,0.0127830280507417
Germany,50-54,2012,1.35080988784407e-5,Female,0.0135080988784407
Germany,50-54,2013,1.42501195202261e-5,Female,0.014250119520226099
Germany,50-54,2014,1.51681060605518e-5,Female,0.0151681060605518
Germany,50-54,2015,1.60607196015729e-5,Female,0.0160607196015729
Germany,50-54,2016,1.66221067646036e-5,Female,0.0166221067646036
Germany,50-54,2017,1.68931166617736e-5,Female,0.0168931166617736
Germany,50-54,2018,1.69933987740063e-5,Female,0.0169933987740063
Germany,50-54,2019,1.69083185604092e-5,Female,0.0169083185604092
