age,year,fertility_rate,date,gender
60-64,2003,0.0017224363067105332,2003,F
65-69,2003,0.0010231789381465756,2003,F
70-74,2003,4.4915408747015406e-4,2003,F
75-79,2003,2.716091965345841e-4,2003,F
80+,2003,6.049025462691517e-4,2003,F
under 15-NA,2002,0,2002,F
15-19,2002,0.004925628889359483,2002,F
20-24,2002,0.0792471144399654,2002,F
25-29,2002,0.17806473525526686,2002,F
30-34,2002,0.1575743503690845,2002,F
35-39,2002,0.0946205722171827,2002,F
40-44,2002,0.04280096429364743,2002,F
45-49,2002,0.02044971637972303,2002,F
50-54,2002,0.007939315023248066,2002,F
55-59,2002,0.004276014871566376,2002,F
60-64,2002,0.0017224363067105332,2002,F
65-69,2002,0.0010231789381465756,2002,F
70-74,2002,4.4915408747015406e-4,2002,F
75-79,2002,2.716091965345841e-4,2002,F
80+,2002,6.049025462691517e-4,2002,F
under 15-NA,2001,0,2001,F
15-19,2001,0.011744113839230167,2001,F
20-24,2001,0.14375365566847148,2001,F
25-29,2001,0.2450008994326736,2001,F
30-34,2001,0.24825609354763664,2001,F
35-39,2001,0.22087133515381588,2001,F
40-44,2001,0.17197354344304563,2001,F
45-49,2001,0.11697071683817248,2001,F
50-54,2001,0.06177538518544496,2001,F
55-59,2001,0.035918212048487067,2001,F
60-64,2001,0.013675436624489322,2001,F
65-69,2001,0.01320861495115074,2001,F
70-74,2001,0.00496612964408881,2001,F
75-79,2001,0.0023593560873393514,2001,F
80+,2001,0.003273013417268331,2001,F
under 15-NA,2000,0,2000,F
15-19,2000,0.011744113839230167,2000,F
20-24,2000,0.14375365566847148,2000,F
25-29,2000,0.2450008994326736,2000,F
30-34,2000,0.24825609354763664,2000,F
35-39,2000,0.22087133515381588,2000,F
40-44,2000,0.17197354344304563,2000,F
45-49,2000,0.11697071683817248,2000,F
50-54,2000,0.06177538518544496,2000,F
55-59,2000,0.035918212048487067,2000,F
60-64,2000,0.013675436624489322,2000,F
65-69,2000,0.01320861495115074,2000,F
70-74,2000,0.00496612964408881,2000,F
75-79,2000,0.0023593560873393514,2000,F
80+,2000,0.003273013417268331,2000,F
under 15-NA,NA,0,NA,F
