country,age,date,afr,gender,fertility_rate
Italy,30-34,2006,0.0919018608849777,Female,91.90186088497771
Italy,30-34,2007,0.0932426253398414,Female,93.2426253398414
Italy,30-34,2008,0.0934697830344643,Female,93.4697830344643
Italy,30-34,2009,0.0927576756025501,Female,92.75767560255011
Italy,30-34,2010,0.0924868143102162,Female,92.4868143102162
Italy,30-34,2011,0.0919020657983112,Female,91.9020657983112
Italy,30-34,2012,0.09091140333971,Female,90.91140333970999
Italy,30-34,2013,0.0907425754153965,Female,90.7425754153965
Italy,30-34,2014,0.0911968341056375,Female,91.1968341056375
Italy,30-34,2015,0.0903012780176311,Female,90.3012780176311
Italy,30-34,2016,0.0894646898795711,Female,89.4646898795711
Italy,30-34,2017,0.0891547775010213,Female,89.1547775010213
Italy,30-34,2018,0.0892666191492319,Female,89.2666191492319
Italy,30-34,2019,0.0896597303701927,Female,89.6597303701927
Italy,35-39,2002,0.0455087858820519,Female,45.5087858820519
Italy,35-39,2003,0.0483612977579366,Female,48.3612977579366
Italy,35-39,2004,0.0500117468092714,Female,50.0117468092714
Italy,35-39,2005,0.0512788879399283,Female,51.278887939928296
Italy,35-39,2006,0.0544386190681953,Female,54.438619068195294
Italy,35-39,2007,0.0571944688996479,Female,57.1944688996479
Italy,35-39,2008,0.0590476265021432,Female,59.0476265021432
Italy,35-39,2009,0.0596757413274893,Female,59.6757413274893
Italy,35-39,2010,0.0600318316701493,Female,60.031831670149295
Italy,35-39,2011,0.0593570459769774,Female,59.357045976977396
Italy,35-39,2012,0.0584270310842557,Female,58.427031084255695
Italy,35-39,2013,0.0578948442297465,Female,57.894844229746504
Italy,35-39,2014,0.0580036085970425,Female,58.00360859704249
Italy,35-39,2015,0.0584560685159337,Female,58.4560685159337
Italy,35-39,2016,0.0591901992053406,Female,59.1901992053406
Italy,35-39,2017,0.0598419727043039,Female,59.8419727043039
Italy,35-39,2018,0.0601557699378573,Female,60.15576993785729
Italy,35-39,2019,0.0602654459808615,Female,60.2654459808615
Italy,40-44,2002,0.009023310803582,Female,9.023310803582
Italy,40-44,2003,0.00978666345802709,Female,9.786663458027089
Italy,40-44,2004,0.0104404138329953,Female,10.4404138329953
Italy,40-44,2005,0.0109260011659976,Female,10.9260011659976
Italy,40-44,2006,0.0117522820221159,Female,11.752282022115901
Italy,40-44,2007,0.0123460419819562,Female,12.346041981956201
Italy,40-44,2008,0.0129690844658639,Female,12.9690844658639
Italy,40-44,2009,0.0134910948671306,Female,13.4910948671306
Italy,40-44,2010,0.0140108664940171,Female,14.0108664940171
Italy,40-44,2011,0.0144990292517503,Female,14.499029251750299
Italy,40-44,2012,0.0148757290385461,Female,14.8757290385461
Italy,40-44,2013,0.0150024080145141,Female,15.0024080145141
Italy,40-44,2014,0.0151170870388885,Female,15.1170870388885
Italy,40-44,2015,0.0153865864146311,Female,15.386586414631099
Italy,40-44,2016,0.0154969700061852,Female,15.496970006185201
Italy,40-44,2017,0.0155292322269756,Female,15.5292322269756
Italy,40-44,2018,0.0155521702035001,Female,15.552170203500099
Italy,40-44,2019,0.0155569728160681,Female,15.5569728160681
Italy,45-49,2002,3.59305300890283e-4,Female,0.359305300890283
Italy,45-49,2003,4.23112078609555e-4,Female,0.423112078609555
Italy,45-49,2004,4.31717039244417e-4,Female,0.431717039244417
Italy,45-49,2005,4.7140848107887e-4,Female,0.47140848107886996
Italy,45-49,2006,5.57598941222144e-4,Female,0.557598941222144
Italy,45-49,2007,6.46352900101801e-4,Female,0.646352900101801
Italy,45-49,2008,7.36101365379434e-4,Female,0.736101365379434
Italy,45-49,2009,8.08120021595315e-4,Female,0.808120021595315
Italy,45-49,2010,8.990124881376e-4,Female,0.8990124881376
Italy,45-49,2011,0.00101288514441534,Female,1.01288514441534
Italy,45-49,2012,0.001064359776918,Female,1.064359776918
Italy,45-49,2013,0.0010979855374018,Female,1.0979855374018
Italy,45-49,2014,0.00112494118693389,Female,1.12494118693389
Italy,45-49,2015,0.00119317989385092,Female,1.1931798938509202
Italy,45-49,2016,0.00131783290959639,Female,1.31783290959639
Italy,45-49,2017,0.00141719857118195,Female,1.41719857118195
Italy,45-49,2018,0.00146749697617727,Female,1.46749697617727
Italy,45-49,2019,0.00146845298933579,Female,1.46845298933579
Italy,50-54,2002,1.21829608695608e-5,Female,0.0121829608695608
Italy,50-54,2003,1.43464565770846e-5,Female,0.0143464565770846
Italy,50-54,2004,1.46382248823082e-5,Female,0.0146382248823082
Italy,50-54,2005,1.59840421622855e-5,Female,0.015984042162285498
Italy,50-54,2006,1.89065011425821e-5,Female,0.0189065011425821
Italy,50-54,2007,2.1915880646225e-5,Female,0.021915880646225
Italy,50-54,2008,2.4958980867322e-5,Female,0.024958980867322
Italy,50-54,2009,2.74009166483483e-5,Female,0.0274009166483483
Italy,50-54,2010,3.04828065076929e-5,Female,0.0304828065076929
Italy,50-54,2011,3.43438854066327e-5,Female,0.034343885406632704
Italy,50-54,2012,3.60892352024778e-5,Female,0.0360892352024778
Italy,50-54,2013,3.72293834918804e-5,Female,0.0372293834918804
Italy,50-54,2014,3.81433684029e-5,Female,0.0381433684029
Italy,50-54,2015,4.04571374847913e-5,Female,0.0404571374847913
Italy,50-54,2016,4.46837459131583e-5,Female,0.044683745913158296
Italy,50-54,2017,4.80529363032677e-5,Female,0.0480529363032677
Italy,50-54,2018,4.97584037660103e-5,Female,0.049758403766010297
Italy,50-54,2019,4.97908192936192e-5,Female,0.0497908192936192
