age,date,gender,fertility_rate
35-39,2018,Male,74.2029426728448
35-39,2019,Male,72.9096693914718
40-44,2002,Male,49.2723744293304
40-44,2003,Male,46.287291331865205
40-44,2004,Male,44.6482799094588
40-44,2005,Male,44.017095482893005
40-44,2006,Male,44.0195905397776
40-44,2007,Male,44.5494360512073
40-44,2008,Male,45.7459300320713
40-44,2009,Male,47.5579179613905
40-44,2010,Male,49.5519903008761
40-44,2011,Male,51.29385511408
40-44,2012,Male,52.641574787768
40-44,2013,Male,53.6647118691121
40-44,2014,Male,54.383063109149695
40-44,2015,Male,54.7565677158008
40-44,2016,Male,54.7439704036522
40-44,2017,Male,54.3257488649692
40-44,2018,Male,53.6958873399975
40-44,2019,Male,53.3789540470069
45-49,2002,Male,16.3099262611067
45-49,2003,Male,14.7765772201734
45-49,2004,Male,13.7851042827097
45-49,2005,Male,13.0299661994466
45-49,2006,Male,12.2458444191692
45-49,2007,Male,11.4087773697387
45-49,2008,Male,11.0496905538066
45-49,2009,Male,11.4361694621639
45-49,2010,Male,12.103172597566301
45-49,2011,Male,12.6850848498458
45-49,2012,Male,13.1387895797346
45-49,2013,Male,13.4712715915275
45-49,2014,Male,13.690819564581401
45-49,2015,Male,13.7925781973727
45-49,2016,Male,13.7926794154566
45-49,2017,Male,13.69977952338
45-49,2018,Male,13.5110897728604
45-49,2019,Male,13.4073914690732
50-54,2002,Male,3.6048623676496296
50-54,2003,Male,3.1012251346957
50-54,2004,Male,2.77173063604365
50-54,2005,Male,2.5070963148196803
50-54,2006,Male,2.23742163163899
50-54,2007,Male,1.9634300396838797
50-54,2008,Male,1.72055134820719
50-54,2009,Male,1.5367984999489501
50-54,2010,Male,1.4154185013134302
50-54,2011,Male,1.34261389175481
50-54,2012,Male,1.31265211830986
50-54,2013,Male,1.3268726640992499
50-54,2014,Male,1.38277873141383
50-54,2015,Male,1.46364191763758
50-54,2016,Male,1.54073860332793
50-54,2017,Male,1.59187822752969
50-54,2018,Male,1.62367106719916
50-54,2019,Male,1.64856704865836
55+,2002,Male,0.122230028492228
55+,2003,Male,0.10515320639600899
55+,2004,Male,0.09398104006874651
55+,2005,Male,0.0850080870613015
55+,2006,Male,0.0758642305566495
55+,2007,Male,0.0665740006738538
55+,2008,Male,0.0583387155640074
55+,2009,Male,0.0521082097672558
55+,2010,Male,0.047992579493892705
55+,2011,Male,0.0455239944015532
55+,2012,Male,0.044508080880216204
55+,2013,Male,0.0449902567692628
55+,2014,Male,0.0468858631763404
55+,2015,Male,0.0496276903386755
55+,2016,Male,0.0522418068090172
55+,2017,Male,0.0539757974821031
55+,2018,Male,0.0550537969456948
55+,2019,Male,0.055897944714111296
15-19,2002,Male,0
15-19,2003,Male,0
15-19,2004,Male,0
15-19,2005,Male,0
15-19,2006,Male,0
15-19,2007,Male,0
15-19,2008,Male,0
15-19,2009,Male,0
15-19,2010,Male,0
15-19,2011,Male,0
15-19,2012,Male,0
15-19,2013,Male,0
15-19,2014,Male,0
15-19,2015,Male,0
15-19,2016,Male,0
15-19,2017,Male,0
15-19,2018,Male,0
15-19,2019,Male,0
